Date,Day,Income
9/12/2022,monday,160
9/13/2022,tuesday,150
9/14/2022,wednesday,0
9/15/2022,thursday,250
9/16/2022,friday,290
9/17/2022,saturday,440
9/18/2022,sunday,350
9/19/2022,monday,0
9/20/2022,tuesday,700
9/21/2022,wednesday,0
9/22/2022,thursday,830
9/23/2022,friday,110
9/24/2022,saturday,390
9/25/2022,sunday,250
9/26/2022,monday,360
9/27/2022,tuesday,640
9/28/2022,wednesday,160
9/29/2022,thursday,260
9/30/2022,friday,0
10/1/2022,saturday,240
10/2/2022,sunday,0
10/3/2022,monday,100
10/4/2022,tuesday,0
10/5/2022,wednesday,100
10/6/2022,thursday,700
10/7/2022,friday,100
10/8/2022,saturday,330
10/9/2022,sunday,120
10/10/2022,monday,0
10/11/2022,tuesday,150
10/12/2022,wednesday,0
10/13/2022,thursday,210
10/14/2022,friday,130
10/15/2022,saturday,150
10/16/2022,sunday,110
10/17/2022,monday,0
10/18/2022,tuesday,300
10/19/2022,wednesday,0
10/20/2022,thursday,200
10/21/2022,friday,0
10/22/2022,saturday,200
10/23/2022,sunday,120
10/24/2022,monday,0
10/25/2022,tuesday,350
10/26/2022,wednesday,100
10/27/2022,thursday,400
10/28/2022,friday,0
10/29/2022,saturday,360
10/30/2022,sunday,0
11/31/2022,monday,160
11/1/2022,tuesday,0
11/2/2022,wednesday,140
11/3/2022,thursday,160
11/4/2022,friday,180
11/5/2022,saturday,130
11/6/2022,sunday,0
11/7/2022,monday,0
11/8/2022,tuesday,180
